BHID,AT,BRG,DIP
VB4283,0,182.07000732,70.87000275
VB4283,50,182.07000732,70.87000275
VB4283,100,182.07000732,70.87000275
VB4283,104.73470306,182.07000732,70.87000275
VB4283,115.80220032,182.07000732,70.87000275
VB4283,129.73469543,181.5,71.30000305
VB4283,140.80220032,181.5,71.30000305
VB4283,168.73469543,179.3999939,74.90000153
VB4283,179.80220032,179.3999939,74.90000153
VB4285,0,180.53999329,50
VB4285,50,180.53999329,50
VB4285,100,180.53999329,50
VB4285,140.50019836,180.53999329,50
VB4285,155.14500427,180.53999329,50
VB4285,180.50019836,178.30000305,50.29999924
VB4285,195.14500427,178.30000305,50.29999924
VB4285,218.50019836,176.19999695,51.09999847
VB4285,233.14500427,176.19999695,51.09999847
VB4286,0,177.53999329,70.23000336
VB4286,50,177.53999329,70.23000336
VB4286,100,177.53999329,70.23000336
VB4286,106.29759979,177.53999329,70.23000336
VB4286,117.46209717,177.53999329,70.23000336
VB4286,144.29760742,179.3999939,70.5
VB4286,155.46209717,179.3999939,70.5
VB4286,178.29760742,180.80000305,72.80000305
VB4286,189.46209717,180.80000305,72.80000305
VB4287,0,176.05000305,39.24000168
VB4287,50,176.05000305,39.24000168
VB4287,96.31549072,176.05000305,39.24000168
VB4287,113.58860016,176.05000305,39.24000168
VB4287,132.31550598,175.69999695,40.40000153
VB4287,149.58859253,175.69999695,40.40000153
VB4287,165.31550598,174.3999939,42.59999847
VB4287,182.58859253,174.3999939,42.59999847
VB4288,0,177.78999329,43.27999878
VB4288,50,177.78999329,43.27999878
VB4288,100,177.78999329,43.27999878
VB4288,149.84159851,177.78999329,43.27999878
VB4288,166.72869873,177.78999329,43.27999878
VB4288,189.84159851,178.5,44.40000153
VB4288,206.72869873,178.5,44.40000153
VB4288,230.84159851,179.19999695,46.20000076
VB4288,247.72869873,179.19999695,46.20000076
VB4289,0,179.1499939,61.34999847
VB4289,50,179.1499939,61.34999847
VB4289,100,179.1499939,61.34999847
VB4289,123.10910034,179.1499939,61.34999847
VB4289,135.43280029,179.1499939,61.34999847
VB4289,168.10910034,180.30000305,60.59999847
VB4289,180.43280029,180.30000305,60.59999847
VB4289,208.10910034,181.19999695,62.70000076
VB4289,220.43280029,181.19999695,62.70000076
VB4290,0,180.83999634,57.22999954
VB4290,50,180.83999634,57.22999954
VB4290,100,180.83999634,57.22999954
VB4290,126.92870331,180.83999634,57.22999954
VB4290,140.03579712,180.83999634,57.22999954
VB4290,166.92869568,182.5,58.20000076
VB4290,180.03579712,182.5,58.20000076
VB4290,201.92869568,185.80000305,60
VB4290,215.03579712,185.80000305,60
VB4291,0,179.71000671,68.73999786
VB4291,50,179.71000671,68.73999786
VB4291,100,179.71000671,68.73999786
VB4291,112.2437973,179.71000671,68.73999786
VB4291,123.60340118,179.71000671,68.73999786
VB4291,145.24380493,179.69999695,69.40000153
VB4291,156.60339355,179.69999695,69.40000153
VB4291,181.24380493,179.6000061,70.19999695
VB4291,192.60339355,179.6000061,70.19999695
VB4292,0,179.86999512,49.59000015
VB4292,50,179.86999512,49.59000015
VB4292,100,179.86999512,49.59000015
VB4292,145.11410522,179.86999512,49.59000015
VB4292,160.21530151,179.86999512,49.59000015
VB4292,189.11410522,177.80000305,50.20000076
VB4292,204.21530151,177.80000305,50.20000076
VB4292,228.11410522,177.19999695,52.5
VB4292,243.21530151,177.19999695,52.5
VB4293,0,180.47999573,60.95000076
VB4293,50,180.47999573,60.95000076
VB4293,100,180.47999573,60.95000076
VB4293,124.78320313,180.47999573,60.95000076
VB4293,137.28070068,180.47999573,60.95000076
VB4293,162.78320313,180.69999695,60.70000076
VB4293,175.28070068,180.69999695,60.70000076
VB4293,199.78320313,181.69999695,60.20000076
VB4293,212.28070068,181.69999695,60.20000076
VB4294,0,183.3500061,68.43000031
VB4294,50,183.3500061,68.43000031
VB4294,100,183.3500061,68.43000031
VB4294,112.02670288,183.3500061,68.43000031
VB4294,123.47350311,183.3500061,68.43000031
VB4294,153.02670288,181.30000305,68.09999847
VB4294,164.47349548,181.30000305,68.09999847
VB4294,188.02670288,179.6000061,66.30000305
VB4294,199.47349548,179.6000061,66.30000305
VB4295,0,180.22999573,89.29000092
VB4295,50,180.22999573,89.29000092
VB4295,99.80568695,180.22999573,89.29000092
VB4295,109.82520294,180.22999573,89.29000092
VB4295,139.80569458,181.19999695,88.40000153
VB4295,149.82519531,181.19999695,88.40000153
VB4295,179.80569458,181.80000305,85.30000305
VB4295,189.82519531,181.80000305,85.30000305
