BHID, XCOLLAR , YCOLLAR , ZCOLLAR 
OC-400-000045,75210.44412,185831.2891,411.2667
OC-400-000046,75216.78992,185829.7469,411.2667
OC-400-000047,75223.39207,185828.559,411.2667
OC-400-000048,75229.95448,185828.1591,411.2667
OC-400-000049,75236.20789,185827.0432,411.2667
OC-400-000050,75242.69022,185825.8996,411.2667
OC-400-000051,75248.95362,185825.2344,411.2667
OC-400-000052,75255.32649,185824.33,411.2667
OC-400-000053,75261.69936,185823.4257,411.2667
OC-400-000054,75268.07222,185822.5213,411.2667
OC-400-000055,75274.44509,185821.6169,411.2667
OC-400-000056,75280.55694,185820.5189,411.2667
OC-400-000057,75286.6688,185819.4209,411.2667
OC-400-000058,75293.85588,185819.5207,411.2667
OC-400-000059,75300.32422,185818.7542,411.2667
OC-400-000060,75306.78266,185817.759,411.2667
OC-400-000061,75313.33222,185817.1282,411.2667
OC-400-000062,75319.47391,185815.9245,411.2667
OC-400-000063,75325.96524,185815.0617,411.2667
OC-400-000064,75198.55735,185839.415,411.2667
OC-400-000065,75205.0908,185838.4507,411.2667
OC-400-000066,75211.51916,185837.5906,411.2667
OC-400-000067,75217.22496,185836.5635,411.2667
OC-400-000068,75223.68007,185835.6563,411.2667
OC-400-000069,75230.69362,185834.7235,411.2667
OC-400-000070,75237.09029,185833.778,411.2667
OC-400-000071,75243.48696,185832.8326,411.2667
OC-400-000072,75249.88363,185831.8871,411.2667
OC-400-000073,75256.28031,185830.9417,411.2667
OC-400-000074,75262.67698,185829.9962,411.2667
OC-400-000075,75269.01821,185829.0243,411.2667
OC-400-000076,75275.35945,185828.0524,411.2667
OC-400-000077,75281.70068,185827.0805,411.2667
OC-400-000078,75288.13418,185826.2176,411.2667
OC-400-000079,75294.60976,185825.898,411.2667
OC-400-000080,75301.16644,185825.1806,411.2667
OC-400-000081,75307.6586,185824.1466,411.2667
OC-400-000082,75314.27766,185823.3916,411.2667
OC-400-000083,75320.30448,185822.3123,411.2667
OC-400-000084,75326.935,185821.523,411.2667
OC-400-000085,75199.29223,185845.8341,411.2667
OC-400-000086,75206.06731,185844.8842,411.2667
OC-400-000087,75212.38104,185844.0901,411.2667
OC-400-000088,75217.9726,185843.321,411.2667
OC-400-000089,75224.70834,185842.2783,411.2667
OC-400-000090,75230.91591,185841.5153,411.2667
OC-400-000091,75237.22133,185840.6029,411.2667
OC-400-000092,75243.52675,185839.6906,411.2667
OC-400-000093,75250.34732,185838.5814,411.2667
OC-400-000094,75257.16789,185837.4721,411.2667
OC-400-000095,75263.64902,185836.3956,411.2667
OC-400-000096,75270.30815,185835.316,411.2667
OC-400-000097,75276.62785,185834.269,411.2667
OC-400-000098,75282.94754,185833.2221,411.2667
OC-400-000099,75289.39362,185832.8832,411.2667
OC-400-000100,75302.00867,185831.607,411.2667
OC-400-000101,75308.53455,185830.5341,411.2667
OC-400-000102,75315.22309,185829.6551,411.2667
OC-400-000103,75321.28303,185828.6118,411.2667
OC-400-000104,75327.90477,185827.9844,411.2667
OC-400-000105,75200.26892,185852.3851,411.2667
OC-400-000106,75207.04382,185851.3178,411.2667
OC-400-000107,75213.24292,185850.5895,411.2667
OC-400-000108,75219.30962,185850.1231,411.2667
OC-400-000109,75225.32131,185849.1112,411.2667
OC-400-000110,75231.59142,185848.0441,411.2667
OC-400-000111,75237.86153,185846.9769,411.2667
OC-400-000112,75244.39057,185845.9385,411.2667
OC-400-000113,75251.4431,185844.8295,411.2667
OC-400-000114,75258.84028,185843.3859,411.2667
OC-400-000115,75265.21095,185842.6244,411.2667
OC-400-000116,75271.58162,185841.8629,411.2667
OC-400-000117,75277.9523,185841.1014,411.2667
OC-400-000118,75284.02793,185840.0965,411.2667
OC-400-000119,75290.27164,185839.3547,411.2667
OC-400-000120,75297.04896,185838.6744,411.2667
OC-400-000121,75303.25671,185838.0132,411.2667
OC-400-000122,75309.41049,185836.9217,411.2667
OC-400-000123,75316.16852,185835.9185,411.2667
OC-400-000124,75322.26158,185834.9113,411.2667
OC-400-000125,75328.87121,185834.3618,411.2667
OC-400-000126,75201.24562,185858.936,411.2667
OC-400-000127,75208.02033,185857.7513,411.2667
OC-400-000128,75214.10481,185857.089,411.2667
OC-400-000129,75220.06679,185856.3833,411.2667
OC-400-000130,75226.0077,185855.4008,411.2667
OC-400-000131,75231.94861,185854.4183,411.2667
OC-400-000132,75237.88953,185853.4358,411.2667
OC-400-000133,75245.0519,185852.4009,411.2667
OC-400-000134,75252.21426,185851.366,411.2667
OC-400-000135,75260.15084,185850.2832,411.2667
OC-400-000136,75266.44557,185849.3479,411.2667
OC-400-000137,75272.74029,185848.4126,411.2667
OC-400-000138,75279.03501,185847.4772,411.2667
OC-400-000139,75285.46916,185846.5933,411.2667
OC-400-000140,75291.9033,185845.7094,411.2667
OC-400-000141,75298.33744,185844.8254,411.2667
OC-400-000142,75304.77158,185843.9415,411.2667
OC-400-000143,75310.28644,185843.3092,411.2667
OC-400-000144,75317.11396,185842.1819,411.2667
OC-400-000145,75323.24013,185841.2108,411.2667
OC-400-000146,75329.83765,185840.7393,411.2667
OC-400-000147,75202.25815,185865.2508,411.2667
OC-400-000148,75208.99684,185864.1848,411.2667
OC-400-000149,75214.95208,185863.4223,411.2667
OC-400-000150,75221.4387,185862.5885,411.2667
OC-400-000151,75227.90789,185861.7027,411.2667
OC-400-000152,75234.37708,185860.8169,411.2667
OC-400-000153,75240.84626,185859.9312,411.2667
OC-400-000154,75247.31545,185859.0454,411.2667
OC-400-000155,75253.78464,185858.1596,411.2667
OC-400-000156,75260.25383,185857.2739,411.2667
OC-400-000157,75267.13225,185856.2075,411.2667
OC-400-000158,75273.45028,185855.2953,411.2667
OC-400-000159,75279.91865,185854.35,411.2667
OC-400-000160,75286.38702,185853.4046,411.2667
OC-400-000161,75292.85539,185852.4592,411.2667
OC-400-000162,75299.32376,185851.5138,411.2667
OC-400-000163,75305.79213,185850.5685,411.2667
OC-400-000164,75311.46728,185849.7294,411.2667
OC-400-000165,75318.05939,185848.4453,411.2667
OC-400-000166,75324.21869,185847.5102,411.2667
OC-400-000167,75202.98006,185871.727,411.2667
OC-400-000168,75209.73758,185870.7086,411.2667
OC-400-000169,75215.79936,185869.7557,411.2667
OC-400-000170,75222.37309,185869.07,411.2667
OC-400-000171,75228.93734,185867.9374,411.2667
OC-400-000172,75234.01664,185867.033,411.2667
OC-400-000173,75240.68125,185866.0914,411.2667
OC-400-000174,75247.35663,185865.185,411.2667
OC-400-000175,75254.31935,185864.4652,411.2667
OC-400-000176,75261.28207,185863.7455,411.2667
OC-400-000177,75267.56992,185862.6593,411.2667
OC-400-000178,75274.00253,185861.741,411.2667
OC-400-000179,75280.43514,185860.8226,411.2667
OC-400-000180,75286.86774,185859.9043,411.2667
OC-400-000181,75293.30035,185858.986,411.2667
OC-400-000182,75299.73296,185858.0676,411.2667
OC-400-000183,75306.16556,185857.1493,411.2667
OC-400-000184,75312.50766,185855.9215,411.2667
OC-400-000185,75319.00482,185854.7087,411.2667
OC-400-000186,75325.19724,185853.8097,411.2667
OC-400-000187,75331.77053,185853.4942,411.2667
OC-400-000188,75203.70197,185878.2032,411.2667
OC-400-000189,75210.47832,185877.2324,411.2667
OC-400-000190,75216.79084,185876.3053,411.2667
OC-400-000191,75230.22521,185874.8745,411.2667
OC-400-000192,75235.79967,185873.7177,411.2667
OC-400-000193,75241.89126,185872.7895,411.2667
OC-400-000194,75248.36549,185872.3234,411.2667
OC-400-000195,75255.7768,185871.4666,411.2667
OC-400-000196,75262.16327,185870.821,411.2667
OC-400-000197,75268.0076,185869.111,411.2667
OC-400-000198,75274.76566,185867.7709,411.2667
OC-400-000199,75281.26462,185866.7884,411.2667
OC-400-000200,75287.46054,185866.0984,411.2667
OC-400-000201,75293.73046,185864.9957,411.2667
OC-400-000202,75300.26996,185864.2756,411.2667
OC-400-000203,75306.97623,185863.5482,411.2667
OC-400-000204,75313.43455,185862.2948,411.2667
OC-400-000205,75319.88304,185861.1165,411.2667
OC-400-000206,75326.17579,185860.1092,411.2667
OC-400-000207,75332.61832,185859.7966,411.2667
OC-400-000208,75204.42388,185884.6793,411.2667
OC-400-000209,75211.21906,185883.7562,411.2667
OC-400-000210,75217.78232,185882.8549,411.2667
OC-400-000211,75224.21815,185882.2128,411.2667
OC-400-000212,75230.47183,185881.1552,411.2667
OC-400-000213,75236.96858,185880.2371,411.2667
OC-400-000214,75243.4349,185879.2616,411.2667
OC-400-000215,75249.90121,185878.286,411.2667
OC-400-000216,75256.81925,185877.5087,411.2667
OC-400-000217,75262.65589,185876.9759,411.2667
OC-400-000218,75268.71643,185875.2549,411.2667
OC-400-000219,75275.42761,185874.3308,411.2667
OC-400-000220,75281.86435,185873.4262,411.2667
OC-400-000221,75288.3011,185872.5216,411.2667
OC-400-000222,75294.88576,185871.4552,411.2667
OC-400-000223,75301.31946,185870.6527,411.2667
OC-400-000224,75307.78689,185869.947,411.2667
OC-400-000225,75314.36144,185868.6682,411.2667
OC-400-000226,75320.76125,185867.5244,411.2667
OC-400-000227,75327.13653,185866.3706,411.2667
OC-400-000228,75205.14579,185891.1555,411.2667
OC-400-000229,75211.9598,185890.28,411.2667
OC-400-000230,75218.7738,185889.4045,411.2667
OC-400-000231,75225.16864,185888.163,411.2667
OC-400-000232,75231.32091,185886.9956,411.2667
OC-400-000233,75237.62131,185886.7701,411.2667
OC-400-000234,75244.06804,185885.9592,411.2667
OC-400-000235,75250.61773,185884.9318,411.2667
OC-400-000236,75257.16743,185883.9044,411.2667
OC-400-000237,75263.541,185883.3856,411.2667
OC-400-000238,75270.1027,185881.7274,411.2667
OC-400-000239,75276.51851,185880.8305,411.2667
OC-400-000240,75282.93432,185879.9335,411.2667
OC-400-000241,75289.35013,185879.0366,411.2667
OC-400-000242,75295.76594,185878.1397,411.2667
OC-400-000243,75302.18175,185877.2428,411.2667
OC-400-000244,75308.59756,185876.3459,411.2667
OC-400-000245,75315.28832,185875.0415,411.2667
OC-400-000246,75321.63947,185873.9323,411.2667
OC-400-000247,75328.05963,185872.8307,411.2667
OC-400-000248,75206.24507,185897.6201,411.2667
OC-400-000249,75212.91007,185896.666,411.2667
OC-400-000250,75219.6417,185895.7675,411.2667
OC-400-000251,75226.01707,185894.7249,411.2667
OC-400-000252,75232.26885,185893.3169,411.2667
OC-400-000253,75238.8307,185892.8941,411.2667
OC-400-000254,75244.94805,185892.3398,411.2667
OC-400-000255,75251.54058,185891.3187,411.2667
OC-400-000256,75257.81692,185890.7246,411.2667
OC-400-000257,75264.44283,185889.782,411.2667
OC-400-000258,75270.99831,185888.0109,411.2667
OC-400-000259,75277.53855,185886.7958,411.2667
OC-400-000260,75283.88102,185886.0848,411.2667
OC-400-000261,75290.22349,185885.3737,411.2667
OC-400-000262,75296.56596,185884.6627,411.2667
OC-400-000263,75302.90843,185883.9516,411.2667
OC-400-000264,75309.2509,185883.2406,411.2667
OC-400-000265,75316.21521,185881.4149,411.2667
OC-400-000266,75322.51769,185880.3402,411.2667
OC-400-000267,75328.98273,185879.2908,411.2667
OC-400-000268,75207.34435,185904.0846,411.2667
OC-400-000269,75213.86035,185903.0521,411.2667
OC-400-000270,75220.5096,185902.1304,411.2667
OC-400-000271,75226.86551,185901.2869,411.2667
OC-400-000272,75233.273,185899.9636,411.2667
OC-400-000273,75239.43056,185899.6436,411.2667
OC-400-000274,75245.82805,185898.7203,411.2667
OC-400-000275,75252.42015,185897.7125,411.2667
OC-400-000276,75258.46642,185897.5449,411.2667
OC-400-000277,75265.34465,185896.1785,411.2667
OC-400-000278,75271.80384,185894.4967,411.2667
OC-400-000279,75278.8223,185893.2907,411.2667
OC-400-000280,75285.14645,185892.4585,411.2667
OC-400-000281,75291.4706,185891.6263,411.2667
OC-400-000282,75297.79476,185890.7941,411.2667
OC-400-000283,75304.11891,185889.9619,411.2667
OC-400-000284,75310.44307,185889.1297,411.2667
OC-400-000285,75317.1421,185887.7882,411.2667
OC-400-000286,75323.3959,185886.748,411.2667
OC-400-000287,75329.90584,185885.7509,411.2667
OC-400-000288,75208.44364,185910.5492,411.2667
OC-400-000289,75214.81063,185909.4381,411.2667
OC-400-000290,75221.3775,185908.4934,411.2667
OC-400-000291,75227.71394,185907.8488,411.2667
OC-400-000292,75234.04341,185906.5642,411.2667
OC-400-000293,75240.33519,185906.0804,411.2667
OC-400-000294,75246.73323,185905.1189,411.2667
OC-400-000295,75253.29972,185904.1062,411.2667
OC-400-000296,75259.49871,185903.7157,411.2667
OC-400-000297,75266.24647,185902.575,411.2667
OC-400-000298,75273.03899,185900.8938,411.2667
OC-400-000299,75279.08528,185899.9585,411.2667
OC-400-000300,75285.46059,185898.9512,411.2667
OC-400-000301,75291.90075,185898.0074,411.2667
OC-400-000302,75298.40221,185897.1467,411.2667
OC-400-000303,75305.08422,185896.0465,411.2667
OC-400-000304,75311.0098,185895.8467,411.2667
OC-400-000305,75318.06898,185894.1616,411.2667
OC-400-000306,75324.27412,185893.1559,411.2667
OC-400-000307,75330.82894,185892.211,411.2667
OC-400-000308,75209.48545,185916.8515,411.2667
OC-400-000309,75215.7609,185915.8241,411.2667
OC-400-000310,75222.24539,185914.8564,411.2667
OC-400-000311,75228.44154,185914.2946,411.2667
OC-400-000312,75235.10844,185913.2247,411.2667
OC-400-000313,75241.21846,185912.2327,411.2667
OC-400-000314,75247.63841,185911.5174,411.2667
OC-400-000315,75254.17929,185910.5,411.2667
OC-400-000316,75260.531,185909.8866,411.2667
OC-400-000317,75267.14829,185908.9715,411.2667
OC-400-000318,75274.04472,185907.3596,411.2667
OC-400-000319,75280.08584,185906.3722,411.2667
OC-400-000320,75286.4118,185905.3826,411.2667
OC-400-000321,75292.82927,185904.437,411.2667
OC-400-000322,75299.22749,185903.5725,411.2667
OC-400-000323,75305.86061,185902.6928,411.2667
OC-400-000324,75311.91443,185902.3,411.2667
OC-400-000325,75318.99587,185900.5349,411.2667
OC-400-000326,75325.15233,185899.5638,411.2667
OC-400-000327,75331.59327,185899.0091,411.2667
OC-400-000328,75210.10962,185923.1692,411.2667
OC-400-000329,75216.67797,185922.2339,411.2667
OC-400-000330,75223.15744,185921.2168,411.2667
OC-400-000331,75229.33638,185920.6863,411.2667
OC-400-000332,75236.24989,185919.5754,411.2667
OC-400-000333,75242.60707,185918.9254,411.2667
OC-400-000334,75248.54358,185917.916,411.2667
OC-400-000335,75255.05886,185916.8937,411.2667
OC-400-000336,75261.92047,185916.0001,411.2667
OC-400-000337,75268.05011,185915.368,411.2667
OC-400-000338,75275.05045,185913.8253,411.2667
OC-400-000339,75281.08641,185912.7859,411.2667
OC-400-000340,75287.37176,185911.8126,411.2667
OC-400-000341,75293.75778,185910.8667,411.2667
OC-400-000342,75300.12777,185909.9883,411.2667
OC-400-000343,75306.81754,185909.0996,411.2667
OC-400-000344,75311.36525,185908.3081,411.2667
OC-400-000345,75319.92276,185906.9083,411.2667
OC-400-000346,75326.03055,185905.9717,411.2667
OC-400-000347,75332.35603,185905.451,411.2667
OC-400-000348,75210.99501,185929.5419,411.2667
OC-400-000349,75217.59503,185928.6438,411.2667
OC-400-000350,75224.0695,185927.5772,411.2667
OC-400-000351,75230.23123,185927.0781,411.2667
OC-400-000352,75237.02559,185925.9888,411.2667
OC-400-000353,75243.19813,185925.2327,411.2667
OC-400-000354,75249.75113,185924.65,411.2667
OC-400-000355,75256.23339,185923.3067,411.2667
OC-400-000356,75262.83518,185922.4088,411.2667
OC-400-000357,75268.95194,185921.7644,411.2667
OC-400-000358,75276.05618,185920.2911,411.2667
OC-400-000359,75282.08697,185919.1996,411.2667
OC-400-000360,75288.33172,185918.2427,411.2667
OC-400-000361,75294.6863,185917.2964,411.2667
OC-400-000362,75301.02805,185916.4042,411.2667
OC-400-000363,75307.77447,185915.5063,411.2667
OC-400-000364,75313.95238,185915.3494,411.2667
OC-400-000365,75320.66021,185913.3539,411.2667
OC-400-000366,75326.90876,185912.3795,411.2667
OC-400-000367,75333.22459,185911.6027,411.2667
OC-400-000368,75211.88041,185935.9145,411.2667
OC-400-000369,75218.51209,185935.0536,411.2667
OC-400-000370,75224.98155,185933.9376,411.2667
OC-400-000371,75231.12608,185933.4698,411.2667
OC-400-000372,75237.85879,185932.4895,411.2667
OC-400-000373,75244.36516,185931.7113,411.2667
OC-400-000374,75250.76846,185931.089,411.2667
OC-400-000375,75257.18279,185930.2458,411.2667
OC-400-000376,75263.59713,185929.4027,411.2667
OC-400-000377,75269.85376,185928.1609,411.2667
OC-400-000378,75276.83073,185926.6954,411.2667
OC-400-000379,75282.80342,185925.6855,411.2667
OC-400-000380,75289.29167,185924.6727,411.2667
OC-400-000381,75295.61481,185923.7261,411.2667
OC-400-000382,75301.92834,185922.82,411.2667
OC-400-000383,75308.59831,185921.9082,411.2667
OC-400-000384,75313.80362,185921.8293,411.2667
OC-400-000385,75321.39765,185919.7996,411.2667
OC-400-000386,75327.78698,185918.7874,411.2667
OC-400-000387,75334.1763,185917.7752,411.2667
OC-400-000388,75212.76581,185942.2871,411.2667
OC-400-000389,75219.42916,185941.4634,411.2667
OC-400-000390,75225.8936,185940.298,411.2667
OC-400-000391,75232.02092,185939.8616,411.2667
OC-400-000392,75238.67879,185939.1838,411.2667
OC-400-000393,75245.16796,185938.2549,411.2667
OC-400-000394,75251.50782,185937.376,411.2667
OC-400-000395,75258.01778,185936.4876,411.2667
OC-400-000396,75264.52775,185935.5991,411.2667
OC-400-000397,75270.75558,185934.5574,411.2667
OC-400-000398,75277.60528,185933.0997,411.2667
OC-400-000399,75283.51987,185932.1713,411.2667
OC-400-000400,75290.25163,185931.1028,411.2667
OC-400-000401,75296.54333,185930.1558,411.2667
OC-400-000402,75302.82862,185929.2358,411.2667
OC-400-000403,75309.42215,185928.31,411.2667
OC-400-000404,75313.83485,185928.2998,411.2667
OC-400-000405,75316.92905,185927.1208,411.2667
OC-400-000406,75322.23596,185926.2333,411.2667
OC-400-000407,75328.88225,185925.2068,411.2667
OC-400-000408,75335.27158,185924.1946,411.2667
OC-400-000409,75213.65121,185948.6598,411.2667
OC-400-000410,75220.14333,185947.9134,411.2667
OC-400-000411,75226.68352,185946.8256,411.2667
OC-400-000412,75232.98103,185946.3381,411.2667
OC-400-000413,75239.54145,185944.996,411.2667
OC-400-000414,75245.55859,185944.7099,411.2667
OC-400-000415,75252.24717,185943.663,411.2667
OC-400-000416,75258.85277,185942.7293,411.2667
OC-400-000417,75265.45838,185941.7956,411.2667
OC-400-000418,75271.6574,185940.9539,411.2667
OC-400-000419,75278.37984,185939.5039,411.2667
OC-400-000420,75284.23632,185938.6572,411.2667
OC-400-000421,75291.21159,185937.5328,411.2667
OC-400-000422,75297.47185,185936.5855,411.2667
OC-400-000423,75303.7289,185935.6517,411.2667
OC-400-000424,75310.24599,185934.7119,411.2667
OC-400-000425,75313.86608,185934.7703,411.2667
OC-400-000426,75317.45993,185933.6478,411.2667
OC-400-000427,75323.07426,185932.6671,411.2667
OC-400-000428,75329.97753,185931.6262,411.2667
OC-400-000429,75335.72107,185930.7145,411.2667
OC-400-000430,75214.5366,185955.0324,411.2667
OC-400-000431,75220.93647,185954.3266,411.2667
OC-400-000432,75227.47343,185953.3533,411.2667
OC-400-000433,75233.94114,185952.8146,411.2667
OC-400-000434,75240.3483,185952.3294,411.2667
OC-400-000435,75247.00705,185950.8361,411.2667
OC-400-000436,75253.28468,185949.594,411.2667
OC-400-000437,75259.81133,185948.6253,411.2667
OC-400-000438,75266.33797,185947.6565,411.2667
OC-400-000439,75272.55923,185947.3504,411.2667
OC-400-000440,75279.15439,185945.9082,411.2667
OC-400-000441,75284.95278,185945.143,411.2667
OC-400-000442,75289.952,185944.4993,411.2667
OC-400-000443,75298.40036,185943.0152,411.2667
OC-400-000444,75304.62918,185942.0675,411.2667
OC-400-000445,75311.06983,185941.1138,411.2667
OC-400-000446,75317.99081,185940.1748,411.2667
OC-400-000447,75323.94935,185939.0915,411.2667
OC-400-000448,75331.0728,185938.0456,411.2667
OC-400-000449,75334.27579,185941.891,411.2667
OC-400-000450,75215.21905,185961.5944,411.2667
OC-400-000451,75221.72961,185960.7399,411.2667
OC-400-000452,75228.26335,185959.8809,411.2667
OC-400-000453,75234.79708,185959.022,411.2667
OC-400-000454,75241.33082,185958.163,411.2667
OC-400-000455,75247.86455,185957.3041,411.2667
OC-400-000456,75254.49351,185956.9073,411.2667
OC-400-000457,75260.68952,185955.1397,411.2667
OC-400-000458,75267.21182,185954.1961,411.2667
OC-400-000459,75274.23181,185953.3261,411.2667
OC-400-000460,75280.43112,185952.0979,411.2667
OC-400-000461,75286.14044,185951.4728,411.2667
OC-400-000462,75292.81209,185950.574,411.2667
OC-400-000463,75299.1605,185949.7206,411.2667
OC-400-000464,75305.78613,185948.7871,411.2667
OC-400-000465,75311.89367,185947.5157,411.2667
OC-400-000466,75318.52168,185946.7018,411.2667
OC-400-000467,75324.82443,185945.5158,411.2667
OC-400-000468,75151.43309,185977.7218,411.2667
OC-400-000469,75157.83157,185976.6333,411.2667
OC-400-000470,75164.23006,185975.5448,411.2667
OC-400-000471,75170.66652,185974.4864,411.2667
OC-400-000472,75177.02704,185973.3679,411.2667
OC-400-000473,75183.44729,185972.5613,411.2667
OC-400-000474,75189.86753,185971.7547,411.2667
OC-400-000475,75196.66353,185970.6296,411.2667
OC-400-000476,75203.09416,185969.8686,411.2667
OC-400-000477,75209.5248,185969.1077,411.2667
OC-400-000478,75215.94875,185968.1656,411.2667
OC-400-000479,75223.0614,185967.0181,411.2667
OC-400-000480,75229.4855,185966.2041,411.2667
OC-400-000481,75235.90959,185965.3902,411.2667
OC-400-000482,75242.33369,185964.5762,411.2667
OC-400-000483,75248.72403,185963.7912,411.2667
OC-400-000484,75255.38346,185963.1597,411.2667
OC-400-000485,75261.56771,185961.6542,411.2667
OC-400-000486,75268.08566,185960.7356,411.2667
OC-400-000487,75274.52406,185959.8493,411.2667
OC-400-000488,75281.49335,185959.1695,411.2667
OC-400-000489,75300.11474,185956.3158,411.2667
OC-400-000490,75306.96965,185956.2991,411.2667
OC-400-000491,75312.11851,185956.1988,411.2667
OC-400-000492,75315.48795,185953.9736,411.2667
OC-400-000493,75319.45558,185953.072,411.2667
OC-400-000494,75325.69952,185951.9401,411.2667
OC-400-000495,75333.12437,185950.8663,411.2667
OC-400-000496,75197.32115,185973.5788,411.2667
OC-400-000497,75152.74406,185982.5788,411.2667
OC-400-000498,75159.18386,185981.7927,411.2667
OC-400-000499,75165.62366,185981.0067,411.2667
OC-400-000500,75172.06346,185980.2206,411.2667
OC-400-000501,75178.50327,185979.4346,411.2667
OC-400-000502,75184.94307,185978.6486,411.2667
OC-400-000503,75191.38287,185977.8625,411.2667
OC-400-000504,75197.82267,185977.0765,411.2667
OC-400-000505,75204.26247,185976.2904,411.2667
OC-400-000506,75210.70227,185975.5044,411.2667
OC-400-000507,75217.02931,185974.3268,411.2667
OC-400-000508,75223.54015,185973.5172,411.2667
OC-400-000509,75230.05099,185972.7075,411.2667
OC-400-000510,75236.56183,185971.8978,411.2667
OC-400-000511,75243.07267,185971.0881,411.2667
OC-400-000512,75249.58351,185970.2784,411.2667
OC-400-000513,75256.27342,185969.412,411.2667
OC-400-000514,75262.44591,185968.1686,411.2667
OC-400-000515,75268.9595,185967.2752,411.2667
OC-400-000516,75275.43245,185966.3739,411.2667
OC-400-000517,75282.24909,185965.5736,411.2667
OC-400-000518,75288.53181,185964.7454,411.2667
OC-400-000519,75294.54236,185963.6281,411.2667
OC-400-000520,75298.39771,185962.6115,411.2667
OC-400-000521,75304.57025,185961.4967,411.2667
OC-400-000522,75310.979,185960.9851,411.2667
OC-400-000523,75316.13042,185960.4972,411.2667
OC-400-000524,75320.38948,185959.4421,411.2667
OC-400-000525,75326.67787,185958.3699,411.2667
OC-400-000526,75153.80477,185989.3132,411.2667
OC-400-000527,75160.24642,185988.4952,411.2667
OC-400-000528,75166.68807,185987.6771,411.2667
OC-400-000529,75173.12973,185986.8591,411.2667
OC-400-000530,75179.57138,185986.041,411.2667
OC-400-000531,75186.01303,185985.223,411.2667
OC-400-000532,75192.45468,185984.405,411.2667
OC-400-000533,75198.89633,185983.5869,411.2667
OC-400-000534,75205.33799,185982.7689,411.2667
OC-400-000535,75211.77964,185981.9508,411.2667
OC-400-000536,75217.42131,185980.8217,411.2667
OC-400-000537,75224.06849,185980.0468,411.2667
OC-400-000538,75230.71567,185979.272,411.2667
OC-400-000539,75237.36285,185978.4972,411.2667
OC-400-000540,75244.01003,185977.7224,411.2667
OC-400-000541,75250.65721,185976.9475,411.2667
OC-400-000542,75257.16338,185975.6644,411.2667
OC-400-000543,75263.3241,185974.6831,411.2667
OC-400-000544,75269.83335,185973.8147,411.2667
OC-400-000545,75276.34083,185972.8986,411.2667
OC-400-000546,75283.00483,185971.9777,411.2667
OC-400-000547,75289.2796,185970.8106,411.2667
OC-400-000548,75295.50113,185969.9975,411.2667
OC-400-000549,75302.86306,185967.8237,411.2667
OC-400-000550,75308.61469,185965.836,411.2667
OC-400-000551,75316.66481,185967.0123,411.2667
OC-400-000552,75321.32338,185965.8123,411.2667
OC-400-000553,75154.83922,185996.3212,411.2667
OC-400-000554,75161.26436,185995.4336,411.2667
OC-400-000555,75167.68949,185994.546,411.2667
OC-400-000556,75174.1675,185993.6845,411.2667
OC-400-000557,75180.61737,185992.8394,411.2667
OC-400-000558,75187.07063,185991.9355,411.2667
OC-400-000559,75193.5222,185991.0609,411.2667
OC-400-000560,75200.01357,185990.236,411.2667
