BHID,FROM,TO,LITH,NLITH
VB4280,0.0,6.1,Soil,0.0 
VB4280,6.1,167.9216,Sandstone,1.0   
VB4280,167.9216,210.5216,Siltstone,2.0  
VB4280,210.5216,234.9216,Breccia,3.0
VB4280,234.9216,240.3216,Basalt,4.0 
VB4281,0.0,5.0,Soil,0.0 
VB4281,5.0,220.0156,Sandstone,1.0   
VB4281,220.0156,254.7156,Siltstone,2.0  
VB4281,254.7156,292.8156,Breccia,3.0
VB4281,292.8156,301.2156,Basalt,4.0 
VB4282,0.0,2.5,Soil,0.0 
VB4282,2.5,204.4754,Sandstone,1.0   
VB4282,204.4754,220.4754,Siltstone,2.0  
VB4282,220.4754,241.6154,Breccia,3.0
VB4282,241.6154,256.5754,Basalt,4.0 
VB4283,0.0,3.5,Soil,0.0 
VB4283,3.5,174.0347,Sandstone,1.0   
VB4283,174.0347,190.7347,Siltstone,2.0  
VB4283,190.7347,212.7347,Breccia,3.0
VB4283,212.7347,223.1347,Basalt,4.0 
VB4285,0.0,3.0,Soil,0.0 
VB4285,3.0,236.8002,Sandstone,1.0   
VB4285,236.8002,246.5002,Siltstone,2.0  
VB4285,246.5002,280.5002,Breccia,3.0
VB4285,280.5002,288.0002,Basalt,4.0 
VB4286,0.0,1.5,Soil,0.0 
VB4286,1.5,171.9976,Sandstone,1.0   
VB4286,171.9976,208.2976,Siltstone,2.0  
VB4286,208.2976,228.4976,Breccia,3.0
VB4286,228.4976,235.8976,Basalt,4.0 
VB4287,0.0,5.2,Soil,0.0 
VB4287,5.2,199.4155,Sandstone,1.0   
VB4287,199.4155,210.3155,Siltstone,2.0  
VB4287,210.3155,232.3155,Breccia,3.0
VB4287,232.3155,258.0155,Basalt,4.0 
VB4288,0.0,4.0,Soil,0.0 
VB4288,4.0,233.9416,Sandstone,1.0   
VB4288,233.9416,265.8416,Siltstone,2.0  
VB4288,265.8416,283.8416,Breccia,3.0
VB4288,283.8416,285.6416,Basalt,4.0 
VB4289,0.0,2.5,Soil,0.0 
VB4289,2.5,200.5091,Sandstone,1.0   
VB4289,200.5091,229.8091,Siltstone,2.0  
VB4289,229.8091,235.7091,Breccia,3.0
VB4289,235.7091,238.1091,Basalt,4.0 
VB4290,0.0,2.0,Soil,0.0 
VB4290,2.0,202.9287,Sandstone,1.0   
VB4290,202.9287,230.9287,Siltstone,2.0  
VB4290,230.9287,245.2287,Breccia,3.0
VB4290,245.2287,253.2287,Basalt,4.0 
VB4291,0.0,1.5,Soil,0.0 
VB4291,1.5,208.2438,Sandstone,1.0   
VB4291,208.2438,222.2438,Siltstone,2.0  
VB4291,222.2438,242.2438,Breccia,3.0
VB4291,242.2438,267.4438,Basalt,4.0 
VB4292,0.0,1.2,Soil,0.0 
VB4292,1.2,251.1141,Sandstone,1.0   
VB4292,251.1141,271.1141,Siltstone,2.0  
VB4292,271.1141,289.1141,Breccia,3.0
VB4292,289.1141,308.1141,Basalt,4.0 
VB4293,0.0,0.8,Soil,0.0 
VB4293,0.8,221.4832,Sandstone,1.0   
VB4293,221.4832,250.7832,Siltstone,2.0  
VB4293,250.7832,265.2832,Breccia,3.0
VB4293,265.2832,277.6832,Basalt,4.0 
VB4294,0.0,0.5,Soil,0.0 
VB4294,0.5,202.0267,Sandstone,1.0   
VB4294,202.0267,216.0267,Siltstone,2.0  
VB4294,216.0267,228.0267,Breccia,3.0
VB4294,228.0267,235.6267,Basalt,4.0 
VB4295,0.0,0.6,Soil,0.0 
VB4295,0.6,185.8057,Sandstone,1.0   
VB4295,185.8057,199.8057,Siltstone,2.0  
VB4295,199.8057,209.3057,Breccia,3.0
VB4295,209.3057,228.8057,Basalt,4.0 
